FFP FOOTPRINT weighted classification, Site: 20190618114111310
Area,Class=1 footprint-weighted,Class=2 footprint-weighted,Class=3 footprint-weighted,Class=4 footprint-weighted,Class=5 footprint-weighted
10%, 0.107, 0.124, 0.546, 0.223, 0.000
20%, 0.106, 0.184, 0.474, 0.215, 0.021
30%, 0.127, 0.192, 0.409, 0.232, 0.039
40%, 0.137, 0.211, 0.370, 0.231, 0.052
50%, 0.137, 0.232, 0.349, 0.223, 0.059
60%, 0.144, 0.239, 0.323, 0.235, 0.059
70%, 0.145, 0.241, 0.310, 0.247, 0.057
80%, 0.148, 0.242, 0.302, 0.248, 0.060
90%, 0.151, 0.243, 0.294, 0.251, 0.062
Domain, 0.153, 0.243, 0.290, 0.252, 0.063
nk, 18-Jun-2019
