#Dataset: HATPRO UIBK Humidity - RAW
rawdate;v01;v02;v03;v04;v05;v06;v07;v08;v09;v10;v11;v12;v13;v14;v15;v16;v17;v18;v19;v20;v21;v22;v23;v24;v25;v26;v27;v28;v29;v30;v31;v32;v33;v34;v35;v36;v37;v38;v39
2019-05-23 00:00:00;7.70;7.62;7.52;7.47;7.40;7.33;7.27;7.20;7.07;6.96;6.80;6.66;6.52;6.39;6.27;6.15;5.98;5.79;5.60;5.32;5.04;4.75;4.45;4.04;3.64;3.29;2.79;2.29;1.84;1.41;1.07;0.76;0.54;0.37;0.25;0.14;0.07;0.03;0.01
2019-05-23 00:10:00;7.72;7.64;7.53;7.48;7.41;7.34;7.28;7.21;7.08;6.97;6.81;6.67;6.52;6.40;6.28;6.16;5.99;5.80;5.61;5.33;5.04;4.76;4.46;4.05;3.65;3.30;2.80;2.30;1.86;1.43;1.09;0.76;0.54;0.37;0.25;0.14;0.07;0.03;0.01
2019-05-23 00:20:00;7.74;7.67;7.57;7.52;7.45;7.39;7.32;7.26;7.13;7.02;6.86;6.72;6.57;6.44;6.32;6.19;6.02;5.82;5.63;5.34;5.05;4.76;4.47;4.05;3.65;3.30;2.79;2.28;1.84;1.40;1.06;0.74;0.52;0.35;0.24;0.14;0.07;0.03;0.01
2019-05-23 00:30:00;7.69;7.62;7.53;7.48;7.42;7.36;7.29;7.23;7.11;6.99;6.84;6.69;6.54;6.41;6.28;6.16;5.98;5.78;5.58;5.29;5.00;4.72;4.43;4.02;3.63;3.29;2.80;2.30;1.86;1.43;1.09;0.76;0.53;0.36;0.24;0.14;0.07;0.03;0.01
2019-05-23 00:40:00;7.76;7.69;7.61;7.57;7.51;7.45;7.38;7.32;7.20;7.09;6.93;6.78;6.63;6.49;6.36;6.23;6.04;5.85;5.64;5.34;5.05;4.76;4.47;4.06;3.68;3.34;2.84;2.34;1.90;1.46;1.11;0.77;0.53;0.36;0.24;0.14;0.07;0.03;0.01
2019-05-23 00:50:00;7.81;7.75;7.66;7.62;7.56;7.50;7.44;7.38;7.25;7.14;6.98;6.83;6.68;6.54;6.41;6.28;6.09;5.89;5.68;5.38;5.08;4.79;4.50;4.10;3.71;3.37;2.87;2.36;1.92;1.48;1.12;0.78;0.54;0.37;0.24;0.14;0.07;0.03;0.01
2019-05-23 01:00:00;7.79;7.71;7.62;7.57;7.51;7.44;7.38;7.31;7.19;7.08;6.92;6.77;6.62;6.49;6.36;6.23;6.05;5.86;5.66;5.37;5.07;4.79;4.49;4.08;3.69;3.34;2.85;2.35;1.90;1.46;1.11;0.78;0.54;0.37;0.25;0.14;0.07;0.03;0.01
2019-05-23 01:10:00;7.73;7.66;7.57;7.52;7.46;7.40;7.33;7.27;7.14;7.03;6.87;6.73;6.58;6.44;6.32;6.19;6.01;5.81;5.61;5.32;5.03;4.75;4.46;4.06;3.67;3.33;2.84;2.35;1.92;1.48;1.13;0.79;0.55;0.38;0.25;0.14;0.07;0.03;0.01
2019-05-23 01:20:00;7.77;7.70;7.62;7.58;7.52;7.46;7.40;7.34;7.21;7.10;6.94;6.79;6.64;6.50;6.37;6.24;6.05;5.85;5.64;5.34;5.05;4.76;4.47;4.08;3.69;3.36;2.86;2.37;1.93;1.49;1.13;0.79;0.55;0.37;0.25;0.14;0.07;0.03;0.01
2019-05-23 01:30:00;7.73;7.66;7.58;7.54;7.48;7.42;7.36;7.30;7.18;7.06;6.91;6.76;6.61;6.47;6.33;6.20;6.01;5.82;5.61;5.31;5.02;4.73;4.44;4.05;3.67;3.34;2.85;2.36;1.93;1.48;1.13;0.79;0.54;0.37;0.25;0.14;0.07;0.03;0.01
