#Dataset: HATPRO UIBK Temperature - RAW
rawdate;v01;v02;v03;v04;v05;v06;v07;v08;v09;v10;v11;v12;v13;v14;v15;v16;v17;v18;v19;v20;v21;v22;v23;v24;v25;v26;v27;v28;v29;v30;v31;v32;v33;v34;v35;v36;v37;v38;v39
2019-05-23 00:00:00;284.11;284.09;283.98;283.84;283.66;283.47;283.32;283.16;282.85;282.45;281.87;281.34;280.83;280.28;279.77;279.32;278.74;278.12;277.51;276.81;276.14;275.43;274.67;273.73;272.89;271.74;270.33;268.82;267.49;265.76;263.54;260.49;256.54;252.36;247.90;241.82;233.92;226.40;221.31
2019-05-23 00:10:00;284.04;284.02;283.91;283.76;283.55;283.31;283.13;282.94;282.62;282.24;281.70;281.24;280.75;280.26;279.85;279.46;278.93;278.41;277.85;277.14;276.43;275.65;274.90;273.90;272.97;271.90;270.59;269.09;267.66;265.80;263.51;260.41;256.37;252.10;247.53;241.45;233.49;225.93;221.04
2019-05-23 00:20:00;284.17;284.10;283.92;283.74;283.51;283.29;283.10;282.93;282.60;282.19;281.63;281.14;280.65;280.07;279.63;279.23;278.68;278.05;277.45;276.80;276.19;275.46;274.72;273.81;272.94;271.82;270.44;268.93;267.58;266.02;263.68;260.62;256.68;252.43;247.90;241.96;234.11;226.71;221.75
2019-05-23 00:30:00;283.96;283.92;283.77;283.60;283.38;283.16;282.97;282.80;282.45;282.03;281.49;281.00;280.52;280.02;279.57;279.17;278.63;278.08;277.55;276.89;276.26;275.55;274.81;273.89;273.06;272.01;270.64;269.16;267.78;266.06;263.74;260.78;256.86;252.67;248.15;242.02;234.25;226.95;221.74
2019-05-23 00:40:00;283.90;283.85;283.67;283.50;283.30;283.10;282.94;282.79;282.51;282.13;281.61;281.10;280.60;280.06;279.61;279.19;278.59;277.97;277.41;276.73;276.03;275.22;274.41;273.43;272.48;271.40;270.04;268.65;267.33;265.65;263.37;260.43;256.58;252.38;247.97;242.02;234.31;227.11;222.29
2019-05-23 00:50:00;283.93;283.87;283.72;283.57;283.37;283.16;282.99;282.82;282.50;282.09;281.51;280.99;280.49;279.97;279.53;279.14;278.64;278.05;277.53;276.90;276.23;275.53;274.79;273.88;273.01;271.85;270.39;268.87;267.41;265.59;263.25;260.15;256.18;251.95;247.45;241.37;233.57;226.49;222.09
2019-05-23 01:00:00;284.14;284.06;283.83;283.59;283.31;283.05;282.83;282.63;282.28;281.89;281.37;280.91;280.44;279.95;279.51;279.11;278.59;278.01;277.46;276.79;276.11;275.38;274.61;273.62;272.66;271.56;270.17;268.69;267.43;265.73;263.46;260.60;256.74;252.56;248.14;242.21;234.48;227.24;222.31
2019-05-23 01:10:00;284.06;283.99;283.78;283.56;283.30;283.05;282.85;282.66;282.35;281.97;281.43;280.96;280.51;280.04;279.60;279.21;278.66;278.08;277.53;276.87;276.13;275.36;274.52;273.49;272.50;271.36;269.96;268.57;267.28;265.50;263.29;260.30;256.34;252.15;247.75;241.80;234.09;226.84;222.16
2019-05-23 01:20:00;284.11;284.02;283.78;283.56;283.29;283.02;282.81;282.63;282.31;281.92;281.37;280.84;280.36;279.85;279.41;279.03;278.53;277.94;277.41;276.76;276.09;275.39;274.63;273.69;272.78;271.68;270.33;268.87;267.48;265.81;263.52;260.58;256.75;252.56;248.03;242.04;234.32;227.13;222.34
2019-05-23 01:30:00;284.01;283.96;283.79;283.61;283.36;283.10;282.88;282.66;282.26;281.84;281.22;280.68;280.16;279.67;279.23;278.86;278.39;277.86;277.37;276.74;276.06;275.37;274.68;273.76;272.85;271.70;270.29;268.81;267.39;265.60;263.42;260.52;256.67;252.46;247.97;241.88;234.11;226.99;222.50
