#Dataset: TAWES UIBK - S201708
rawdate;tl;tl2;ts;tb1;tb2;tb3;tp;rf;rf2;rr;rrm;p;som;glom;himm;ffamm;ffm;ddm;ffxm;ddxm;shm
2019-05-23 00:00:00;10.70;10.70;9.20;11.30;14.20;13.30;8.80;87.60;86.00;0.00;0.00;949.60;0.00;0.00;NaN;1.10;1.10;35.30;1.40;44.00;NaN
2019-05-23 00:01:00;10.70;10.70;9.20;11.30;14.20;13.30;8.80;87.60;86.00;0.00;0.00;949.60;0.00;0.00;NaN;1.10;1.00;28.50;1.40;40.00;NaN
2019-05-23 00:02:00;10.70;10.70;9.20;11.30;14.20;13.30;8.80;87.60;86.00;0.00;0.00;949.60;0.00;0.00;NaN;0.70;0.70;10.70;0.90;36.00;NaN
2019-05-23 00:03:00;10.80;10.60;9.20;11.30;14.20;13.30;8.90;87.70;86.10;0.00;0.00;949.60;0.00;0.00;NaN;0.70;0.60;14.80;0.90;32.00;NaN
2019-05-23 00:04:00;10.80;10.60;9.30;11.30;14.20;13.30;8.80;87.60;86.00;0.00;0.00;949.60;0.00;0.00;NaN;0.70;0.70;334.60;1.00;321.10;NaN
2019-05-23 00:05:00;10.80;10.50;9.40;11.30;14.20;13.30;8.80;87.60;86.00;0.00;0.00;949.60;0.00;0.00;NaN;0.90;0.90;339.60;1.10;320.10;NaN
2019-05-23 00:06:00;10.80;10.50;9.40;11.30;14.20;13.30;8.90;87.60;86.10;0.00;0.00;949.60;0.00;0.00;NaN;0.90;0.90;350.30;1.10;350.10;NaN
2019-05-23 00:07:00;10.80;10.50;9.50;11.30;14.20;13.30;8.90;87.60;86.10;0.00;0.00;949.60;0.00;0.00;NaN;0.50;0.50;14.20;0.70;352.10;NaN
2019-05-23 00:08:00;10.80;10.60;9.50;11.30;14.20;13.30;8.80;87.50;86.20;0.00;0.00;949.60;0.00;0.00;NaN;0.90;0.80;6.00;1.10;345.10;NaN
2019-05-23 00:09:00;10.80;10.60;9.60;11.30;14.20;13.30;8.90;87.50;86.20;0.00;0.00;949.60;0.00;0.00;NaN;1.30;1.20;14.50;1.70;356.00;NaN
2019-05-23 00:10:00;10.80;10.60;9.60;11.30;14.20;13.30;8.90;87.30;86.40;0.00;0.00;949.60;0.00;0.00;NaN;1.20;1.10;22.00;1.50;354.10;NaN
2019-05-23 00:11:00;10.80;10.70;9.60;11.30;14.20;13.30;8.80;87.20;86.40;0.00;0.00;949.60;0.00;0.00;NaN;0.90;0.80;11.80;1.20;9.00;NaN
2019-05-23 00:12:00;10.80;10.80;9.70;11.30;14.20;13.30;8.80;87.20;86.30;0.00;0.00;949.60;0.00;0.00;NaN;1.10;1.00;340.60;1.60;16.00;NaN
2019-05-23 00:13:00;10.80;10.80;9.70;11.30;14.20;13.30;8.80;87.20;86.30;0.00;0.00;949.60;0.00;0.00;NaN;1.10;1.10;315.60;1.60;315.10;NaN
2019-05-23 00:14:00;10.80;10.60;9.70;11.20;14.20;13.30;8.80;86.90;86.30;0.00;0.00;949.60;0.00;0.00;NaN;1.00;0.90;315.10;1.60;311.00;NaN
2019-05-23 00:15:00;10.80;10.60;9.80;11.20;14.20;13.30;8.70;86.70;86.40;0.00;0.00;949.60;0.00;0.00;NaN;0.50;0.30;18.70;0.80;322.10;NaN
2019-05-23 00:16:00;10.90;10.60;9.80;11.20;14.20;13.30;8.70;86.70;86.50;0.00;0.00;949.60;0.00;0.00;NaN;1.00;0.90;30.80;1.50;20.00;NaN
2019-05-23 00:17:00;10.90;10.80;9.80;11.20;14.20;13.30;8.70;86.60;86.50;0.00;0.00;949.60;0.00;0.00;NaN;0.80;0.80;51.50;1.30;44.00;NaN
2019-05-23 00:18:00;10.90;10.70;9.80;11.20;14.20;13.30;8.70;86.50;86.50;0.00;0.00;949.60;0.00;0.00;NaN;0.90;0.80;63.70;1.50;63.00;NaN
2019-05-23 00:19:00;10.90;10.80;9.90;11.20;14.20;13.30;8.80;86.50;86.50;0.00;0.00;949.60;0.00;0.00;NaN;0.60;0.60;335.80;1.00;306.10;NaN
2019-05-23 00:20:00;10.90;10.50;9.90;11.20;14.20;13.30;8.80;86.70;86.40;0.00;0.00;949.60;0.00;0.00;NaN;1.10;1.10;318.90;1.50;316.00;NaN
2019-05-23 00:21:00;10.80;10.50;9.90;11.20;14.20;13.30;8.70;86.60;86.40;0.00;0.00;949.50;0.00;0.00;NaN;0.70;0.60;298.30;1.20;320.10;NaN
2019-05-23 00:22:00;10.80;10.60;10.00;11.20;14.20;13.30;8.70;86.70;86.50;0.00;0.00;949.50;0.00;0.00;NaN;0.90;0.80;301.40;1.30;305.10;NaN
