FFP FOOTPRINT classification, Site: 20190618114223310
Area,Class=1 within footprint,Class=2 within footprint,Class=3 within footprint,Class=4 within footprint,Class=5 within footprint
10%, 0.072, 0.278, 0.299, 0.010, 0.340
20%, 0.083, 0.253, 0.319, 0.017, 0.326
30%, 0.082, 0.249, 0.325, 0.013, 0.331
40%, 0.102, 0.209, 0.306, 0.027, 0.355
50%, 0.105, 0.216, 0.293, 0.042, 0.345
60%, 0.121, 0.217, 0.286, 0.045, 0.331
70%, 0.157, 0.193, 0.281, 0.058, 0.310
80%, 0.180, 0.187, 0.289, 0.066, 0.278
90%, 0.181, 0.196, 0.293, 0.065, 0.264
Domain, 0.165, 0.238, 0.258, 0.062, 0.277
nk, 18-Jun-2019
