FFP FOOTPRINT weighted classification, Site: 20190618114223310
Area,Class=1 footprint-weighted,Class=2 footprint-weighted,Class=3 footprint-weighted,Class=4 footprint-weighted,Class=5 footprint-weighted
10%, 0.070, 0.289, 0.301, 0.009, 0.331
20%, 0.075, 0.270, 0.318, 0.015, 0.322
30%, 0.077, 0.263, 0.321, 0.013, 0.326
40%, 0.089, 0.239, 0.311, 0.020, 0.340
50%, 0.094, 0.235, 0.305, 0.029, 0.338
60%, 0.101, 0.233, 0.300, 0.032, 0.333
70%, 0.114, 0.224, 0.297, 0.038, 0.327
80%, 0.125, 0.218, 0.296, 0.042, 0.319
90%, 0.131, 0.216, 0.296, 0.044, 0.312
Domain, 0.135, 0.215, 0.296, 0.046, 0.309
nk, 18-Jun-2019
